CLM_SK,DLR_NO,CLM_NO,RO_YR,SHRT_PART_NO,BLO,LAB_OPRTN_CD,ORIG_CUST_CNTN_TXT,TARGET
98393810,251100,531142,2017,01473,411,411261,DURING LAST SERVICE INSPECTION TECH FOUND LEFT REAR CALIPER PISTON SEALS IS CRACKING. PLEASE INSPECT AND REPORT.,0
100860844,251289,481652,2017,04712,810,810096,"CLIENT STATES THERE IS DAMAGE UNDER FRONT BUMPER, NOTICEDAFTER DELIVERY, BEYOND 48 HOURS. GOODWILL REPAIR PER REP",0
99687650,251289,448165,2017,04712,923,923096,"CLIENT STATES THERE IS DAMAGE UNDER FRONT BUMPER, NOTICEDAFTER DELIVERY, BEYOND 48 HOURS.",1
99288938,251003,256286,2017,04715,811,811099,CUSTOMER STATES REAR RIGHT BUMPER IS OUT OF ALLIGNMENT.,1
100589939,251046,110289,2017,04715,849,849096,PER DPSM SUBLET LR QUARTER TO BODY SHOP,1
99558033,251123,203657,2017,04814,864,864175,"CLIENT STATES RATTLE FROM PASSENGER B-PILLAR AREA OR LOWERAT DOOR. TECH INSPECTED AND VERIFIED RATTLE FROM RIGHT SE ATBELT. PER TECHLINE REMOVED RETRACTOR, REPLACED AND VERIFIED NOISE GONE.",0
94782866,251184,077221,2016,04816,854,854099,AUTH 119B - GENERAL MANAGER STATES PASSENGER SEAT BELT BUCKLE IS BACKWARDS,0
94241512,251015,157741,2016,15400,513,513096,GOODWILL CAR RAMPS FOR CLIENT PER ACURA,0
101033057,251059,989681,2017,15400,851,851096,LA PREP LOWER SEAT COVERS PER BEN ARIAS,0
101787666,251547,920311,2017,15400,710,710099,AUTH`D BY DPSM AND TECH LINE REF #TLC4000852. LABOR TO REMOVE AND INSTALL BATTERY. BATTERY TAKEN BY ACURA OF PEABODYFOR CUSTOMER DUE TO AVAILABILITY. ACURA OF PEABODY BROUGH T BACK NEW BATTERY ONCE REC`D. TECH INSTALLED AND VERIFIEDOPERATION OF NSX.,1
100977564,251461,978091,2017,15420,110,110099,PLEASE PERFORM FULL NSX INSPECTION,1
96289083,251438,046070,2016,15610,111,111099,"OBSERVED AT PDI/TQI; OIL RESIDUE ON LOWER ENGINE SPLASH SHEILD-ADVISE///SPOKE WITH TECHLINE (3915558), REMOVED & CLEANED LOWER SPLASH SHIELD, REMOVED & CLEANED SUPPORT BRACES, RECHECKED OK",0
100745428,251095,469886,2017,17011,323,323503,CUSTOMER STATES THE CHECK ENGINE LIGHT AND PARKING BRAKE LIGHTS ARE ON,1
95440793,251476,970665,2016,17013,310,310099,CUST STATES THE FUEL TANK DOES NOT GO ABOVE 3/4,0
101573464,251559,544409,2017,17045,310,3101D2,"C/S: WHILE DRIVING ALL WARNING LIGHTS CAME ON AND VEHICLE SHUT OFF. COMPLETED EXTENSIVE DIAGNOSTICS. MULTIPLE DTCS, FUEL PRESSURE DROP, REMOVED ENGINE COMPONENTS, IDLE RELEARN & CKP UPDATES - TECH LINE ASSIST.",0
94298137,251004,620911,2016,17047,310,310099,032-20 / G/S THE FUEL LEVEL READING IS INACCURATE / FUEL GAUGE STUCK ON 3/4 TECH LINE #3900802,0
97584211,251057,436831,2017,17121,110,110099,LEFT SIDE ENGINE COVER IS NOT POSITIONED PROPERLY- FOUND DURING PDI INSPECTION,0
95096232,251054,533652,2016,17328,121,121099,GUEST STATES THAT THE CHECK ENGINE LIGHT CAME ON WHILE DRIVING. PLEASE CHECK AND ADVISE.,0
92911526,251172,522120,2016,18900,110,110099,C/S NOISE COMING FROM ENGINE AREA TEST DROVE & CONTACTED TECH LINE #3885160 CHECK SHIFTING NORMAL AT THIS TIME,0
93379718,251172,523231,2016,18900,110,110099,C/S WHISTLING NOISE FROM ENGINE AROUND 3000 RPMS CONTACTEDTECH LINE #3885160 CK TRANS NORMAL SHIFTING AT THIS TIME,0
97972356,251546,163116,2017,19301,114,114150,CLIENT STATES: CHECK ENGINE LIGHT IS ON. PLEASE SCAN SYSTEM TO RETRIEVE CODES AND TEST COMPONENTS FOR FAILURE.,1
98167916,251497,547131,2017,19301,114,1141B4,C/S THE CK EMISSIONS WARNING AND ELECTRONIC BRAKE WARNINGSARE ON TECH LINE 3953889 / RET CODES REPLACED THERMOSTAT  AND BLED SYST CLEARED CODES,0
99854703,251336,332341,2017,19301,114,1141B4,CUSTOMER STATES ELECTRONIC PARKING BRAKE MESSAGE AND EMMISION MESS AGE REPORTED ON ADVISE,1
100861234,251078,572157,2017,19301,114,1141B4,C/S CHECK EMISSIONS LIGHT IS ON - PLEASE ADVISE,0
101058768,251095,473176,2017,19301,114,1141B4,CUSTOMER STATES THE CHECK EMISSIONS LIGHT IS ON BRAKE WARNING MESAAGE IS ON,0
101793565,251586,726061,2017,19301,114,1141B4,CUSTOMER STATES CHECK ENGINE; EMISSIONS SYSTEM; AND ELECTRONIC PARKING BRAKE LIGHT IS ON; CHECK AND ADVISE  TECHLINEREF#3995305,1
101924167,251140,519351,2017,19301,114,1141B4,CHECK ENGINE LIGHT IS ON - CAME ON YESTERDAY 06.30.2017 WHEN HE TURNED THE VEHICLE ON - HAS BEEN ON THE WHOLE TIME AND ALONG WITH IT THE ELECTRIC PARKING BRAKE LERROR MESSAGECAME ON AS WELL TECH;LINE# 3995650,1
101252098,251563,687282,2017,19301,114,1141B4,WHILE DRIVING CHECK EMISSION SYSTEM  AND ELECTRONIC PARKING SYSTEM MALFUNCTION LIGHTS CAME ON  AND VEHICLE WOULDNT MOVE,0
101250083,251525,105279,2017,19301,114,114150,"CK ENGINE LIGHT STAYS ON, RETRIEVED & CLEARED PCM CODE & DIAGNOSED & REPLACED FAILED THERMOSTAT. TECHLINE 3992323",0
101252590,251012,983887,2017,19301,114,1141B4,PARKING BRAKE AND EMISSIONS LIGHT COMING ON; ADVISE. FOUNDTHE COOLING SYSTEM MALUFNCTION. REPLACED THERMOSTAT PER D TCS,0
97555947,251540,103365,2017,19301,114,1141B4,CK ENGINE LAMP IS ON; DIAGNOSE AND ADVISE,0
100488808,251562,958481,2017,19301,114,1141B4,CLIENT STATES THE CHECK ENGINE LAMP IS ON.,0
100683967,251049,107593,2017,19301,323,323505,CUSTOMER STATES CHECK EMISSIONS LIGHT STAYS ON,0
100686284,251049,917593,2017,19301,114,1141B4,CLIENT STATES THE CHECK EMISSIONS LIGHT IS ON,0
101299513,251105,327971,2017,19301,114,1141B4,CHECK EMISSION AND WARNING LIGHTS ARE ON PLEASE REPAIR. INNER GASKET IS PINCHED. REPLACED THERMOSTAT AND BLEED COOLING SYSTEM.,0
101333047,251573,879271,2017,19301,114,1141B4,CUSTOMER STATES CHECK ENGINE LIGHT ON,0
101353692,251015,286561,2017,19301,114,114150,CHECK ENGINE LIGHT AND ELECTRIC BRAKE SYSTEM LIGHT IS FLASHING. THERMOSTAT GASKET OUT OF PLACE. REPL THE THERMOSTAT,0
101640857,251507,812661,2017,19301,114,1141B4,CUSTOMER STATES WHEN STARTING UP VEHICLE   TWO MALFUNCTIONS SHOW UP  CHECK EMISSIONS SYSTEM AND ELECTRIC PARKING BRAKE MALFUNCTION - TECH REF# 3995584,1
94498445,251046,103348,2016,1A865,710,710099,ALL WARNING LIGHTS CAME ON AT START UP,0
95608959,251367,718022,2016,1D070,118,118199,INSTALL HYBRID BATTERY PACK PER HONDA REQUEST,0
98168513,251461,795491,2017,20041,218,218099,CHECK TRANS FLUID AS PER JASON FROM TECHLINE,0
99772511,251481,003271,2017,20041,218,218102,CLIENT STATES ERROR MESSAGE ON CENTER DISPLAY .. STOP DRIVING WHEN SAFE TRANSMISSION TEMPERATURE TOO HOT.. ADVISE.,0
101119608,251015,279751,2017,20041,220,220199,VEHICLE IS BEING TOWED IN. TRANSMISSION CODE CAME ON AND VEHICLE WON`T MOVE. TRANS FAILURE. REPL TRANSMISSION,1
100646715,251046,110773,2017,20041,218,218096,GW TOWING TO BARBER MOTOR PARK FOR INDY RACE,1
95855039,251559,536153,2016,20041,218,218099,DOMINIC FROM ACURA REQUESTED TO HAVE TRANSMISSION FLUID CHECKED; SEVERAL UNITS WERE FOUND TO BE OVERFILLED; CHECK AND CONTACT TECHLINE 3922761,0
98812046,900021,075806,2017,21210,218,218098,UNKNOWN,1
96400220,251419,020612,2016,22880,218,2181Z3,P0860 CODE          ,0
100260284,251573,847391,2017,22880,218,2181Z3,CUSTOMER STATES THAT THE VEHICLE SHUT OFF WHILE DRIVING -ALL WARNING LIGHTS WERE LIT - VEHICLE WOULD NOT TURN ON VEHICLE WOULD NOT TURN OVER TO DYNAMIC MODE - WOULD NOT OPERATE IN EV MODE - BATTERY CHARGE DROPPED TO 0 VEHICLE WAS TURNING ON AND OFF -,0
101544894,900021,081489,2017,29300,613,613098,UNKNOWN,1
95522813,251132,235402,2016,31500,710,710100,COURTESY BATTERY TEST RECOMMENDS REPLACEMENT. VERIFY CHARGING SYSTEM OPERATION AND REPLACE BATTERY IF NECCESARY.,1
96094589,251543,961411,2016,31500,710,710100,"CUSTOMER STATES CAR WONT START, CHECK AND ADVISE VEHICLE PICKED UP BY SHOP FOREMAN AND DRIVEN TO DEALER",1
96361802,251121,341642,2016,31500,710,710099,CUSTOMER STATES THAT THE BATTERY KEEPS GOING DEAD. ACURA ENGINEERING BROUGHT OUT BATTERY TO EXCHANGE. TOOK BAD BATTERY WITH THEM.,0
99018391,251406,189649,2017,31500,710,710100,BATTERY WILL NOT HOLD A CHARGE- FAILED TEST,1
99965269,251075,778031,2017,31500,710,710100,TECHNICIAN FOUND BATTERY TO BE BAD DURING ROUTINE MAINTENANCE CHECK,1
100104880,251222,223951,2017,31500,710,710100,TECH WAS INSTRUCTED TO TEST BATTERY DUE TO NO START. REPLACED BATTERY,1
101201405,251482,910400,2017,31500,710,710100,BATTERY FAILED TESTER - BAD CELL IN BATTERY,1
101825233,251009,199955,2017,31500,710,710100,"DURING ROUTINE INVENTORY BATTERY MAINTENANCE TEST, TEST RESULT AS BAD BATTERY DUE TO BAD CELL- REPLACE. TEST CODE 10T3Q-TH038.",0
101857896,251525,106147,2017,31500,710,710100,"BATTERY HAS TO BE JUMP STARTED, BATTERY FAILED ED18 TEST, REPLACED BATTERY",1
96625228,900021,068699,2017,31500,710,710098,UNKNOWN,0
95779786,251456,219664,2016,31500,710,710100,C/S VEHICLE WILL NOT START,0
99289107,251041,295031,2017,31500,710,710100,BATTERY WENT DEAD WHILE THE CAR SITTING ON THE SHOW ROOM FLOOR,1
99559929,251013,680529,2017,31500,710,710100,NO START,1
99759490,251306,221425,2017,31500,710,710100,"CUSTOMER STATES ENGINE WILL NOT CRANK, DOE NOT HAVE ANY ELECTRICAL POWER. HAVE TO CHARGE 12 VOLT BATTERY TO START ENGINE.BATTERY FAILED LOAD TEST,,REPLACED BATTERY AND RETEST",0
100288044,251022,419571,2017,31500,710,710096,CLIENT DESCRIBED CONCERN BATTERY GOES DEAD AFTER SITTING 8DAYS,1
100739638,251510,818851,2017,31500,710,710100,"OWNER STATES BATTERY IS DEAD IF VEHICLE SITS FOR SEVERAL DAYS. AS PER ACURA TECH SUPPORT, TECH 3004 TO REPLACE DEFECTIVE BATTERY WITH NEW.",1
101722438,251192,201191,2017,31500,710,710100,CUSTOMER STATES THE BATTERY WAS DEAD AND THE CAR W OULD NOT START   HAD TO JUMP START TO BRING IN,0
101731238,251100,576961,2017,31500,710,710100,CLIENT STATES WHEN TO UNLOCK CAR THIS MORNING AND THE REMOTE DOES NOT OPEN THE DOOR AND THEN MANUAL USE KEY FOUND THAT THE CAR DOES NOT START AT ALL. NEEDED TO JUMP START. PLEASE INSPECT AND REPORT.,0
101121100,251012,983882,2017,32108,737,7371B5,CS WHEN TURNING BLINKERS ON; THE BACKUP CAMERA WAS ACTIVATING; THEN IT GOT TO THE POINT WHERE IT WAS DISPLAYED WHILEMOVING FORWARD IN DRIVE; FOUND REAR CABIN WIRE HARNESS FA ULTY. REPLACED REAR WIRE HARNESS,1
101250235,251228,131507,2017,33150,712,7121A0,CHK AND ADVISE CUST STATES LEFT FRONT TURN SIGNAL HAS FAILED LIGHTING UNIT.,0
93392710,251476,936526,2016,33550,811,811099,UPON CHK OUT AND PDI FOUND REAR BUMPER MISALIGNED ON LEFTSIDE BELOW TAILIGHT,1
98924784,251204,996681,2017,33550,714,7141A0,CK LR TAIL LAMP IS SCRATCHED,1
97387330,251507,734482,2017,33600,720,720099,DURING PDI INSPECTION THE TECH ADVISED THAT THE RIGHT REARQUARTER LIGHT WAS INOPERATIVE - DPSM SIGNED RO TO APPROVE WARRANTY REPAIR TO INVENTORY VEHICLE,0
97556322,251270,211251,2017,33700,714,7141B0,CUSTOMER STATES DEBRIS IN INNER TAILLIGHT,1
100943632,251359,742571,2017,34270,714,714150,CLIENT STATES VEHICLE WILL NOT START VSA WARNING DISPLAYEDCLIENT WAS JUST IN SAME ISSUE.,1
101857826,251481,083102,2017,34270,714,714150,C/S: BLACK MOLDING ACROSS REAR WINDOW; NEAR BRAKE LIGHT?;LOOKS DEFORMED IN A COUPLE SPOTS. INSPECT AND ADVISE.,0
101332409,251462,380932,2017,34270,714,714150,DRIVABILITY CONCERN: `CUSTOMER STATES; SYSTEM FAILURE CARWILL NOT START,1
101731466,251044,681910,2017,34270,714,714150,CUSTOMER REPORTS WARNING LIGHTS CAME ON THIS MORNING WHENATTEMPTING TO DRIVE,1
101120682,251012,698388,2017,35118,050,050199,TRIM COMING OFF KEY FOB; ADVISE. THE NSX LABEL IS WEARING OFF ALREADY. REPLACED EKY FOB.,0
97290584,251416,152653,2017,35190,744,744099,C/S THE POWER MIRRORS ARE NOT ADJUSTING.,1
94082409,251408,513652,2016,35760,744,7441A3,TECH FOUND REAR RIGHT WINDOW WILL NOT WORK. REPLACED SWITCH PER TECH LINE3890933,0
101638936,251505,088431,2017,36531,123,123503,CUSTOMER STATES CHECK ENGINE LIGHT ON,0
99853797,251228,130800,2017,36600,054,0541A0,CHK AND ADVISE CUST STATES HOMELINK #1 SWITCH DOES NOT FUNCTION; #2 PROGRAMED TO GARAGE DOOR OK.,1
101032034,251022,421131,2017,36750,738,7381A2,ENGINE CONCERN--- CUSTOMER STATES CAR WILL NOT START DASHLIGHTS AND ALL DISPLAYS LIGHT UP BUT ENGINE WILL NOT TURNOVER,0
101031266,251407,116146,2017,37470,123,123099,"THE VEHICLE WOULD NOT OPEN THE TRUNK WITH EITHER REMOTE AND THERE WAS A MESSAGE ON THE MID FOR POWER SITTING. THE VEHICLE WOULD ALSO ONLY STAY IN SPORT MODE, IT WOULD NOT LETHIM CHANGE IT. THE VEHICLE WOULD START WHEN THIS HAPPENED.ONLY HAPPENED ONC",1
93744593,251257,779931,2016,37820,121,121099,THE CHECK ENGINE LIGHT IS ILLUMINATED - INSPECT AND REPORT,0
93005554,251304,335936,2016,37820,123,123505,CHECK ENGINE LIGHT IS ON DURING PDI,0
93201734,251222,948302,2016,37820,123,123505,"DEBIT/CREDIT:WRONG CUSTOMER INFORMATION ON CLAIM. THE CHECK ENGINE LIGHT WAS ON, STARTED WITHOUT FUSES INSTALLED (TOTRANSPORT).CHECKED AND CLEARED CODE",0
96744197,251525,101599,2017,37820,123,123505,"CK ENGINE LIGHT STAYS ON, RETRIEVE & CLEAR CODES, AND ROADTEST. OK.  TECHLINE 3936358",1
92913353,251222,948301,2016,37820,123,123505,THE CHECK ENGINE LIGHT WAS ON. STARTED WITHOUT FUSES INSTALLED (TO TRANSPORT). CHECKED AND CLEARED CODE,1
93392386,251014,902370,2016,37820,121,121099,"CHECK ENGINE LIGHT COMES ON CODE. DIGANOSIS OF CODE P0562.TECH LINE REF# 3899929. PERFORMED BATTERY RESET, OK AFTER PROCEDURE.",1
98355194,251569,143806,2017,37820,123,123505,"CUSTOMER STATES THE SHECK ENGINE LIGHT IS ON, TECH FOUND 4DIFFERENT DTC CODES. BELIEVE LOW BATTERY VOLTAGE CAUSED T HE CODES.  CLEARED CODES, TEST DROVE VEHICLE, NO CODES FAILURE CODES AT THIS TIME.",1
94965944,251310,204401,2016,37940,120,1201A6,CHECK ENGINE LIGHT IS ON,1
100788085,251128,102651,2017,38200,747,7471A0,CUSTOMER STATES ALL THE WARNING LIGHTS ARE ON AND THE VEHICLE WILL NOT START,0
101199272,251285,064911,2017,38200,747,747199,CUSTOMER STATES VEHICLE WILL NOT START AND HAS MUL TIPLE ERROR LIGHTS ON IN DASH..  ST .6 = 423505,0
101199796,251022,211311,2017,38221,747,747199,DEBIT/CREDIT TO CORRECT PARTS REPLACED REMOVES FREIGHT ANDCORRECT LABOR ENGINE CONCERN--- CUSTOMER STATES CAR WILL  NOT START DASHLIGHTS AND ALL DISPLAYS LIGHT UP BUT ENGINE WILL NOT TURNOVER,1
93596615,251300,382883,2016,38221,714,714199,CUST STATES THE TAIL LIGHTS ARE NOT WORKING,0
94446336,251102,362401,2016,38320,050,0501A8,CUSTOMER STATES TRUNK WONT CLOSE AS IF KEY IS PRESENT,1
99010269,251041,295032,2017,38920,710,7101A2,BATTERY WENT DEAD WHILE THE CAR SITTOING ON THE SHOWROOM FLOOR,0
96361801,251121,341641,2016,38920,745,745099,"CUSTOMER STATES THAT THEY LEFT FOR 2 WEEKS AND WHEN THEY CAME BACK THEIR NSX WOULD NOT START AND THE DOORS WOULD NOTCLOSE, ADVISE.",1
95918508,251200,289371,2016,38920,710,710099,C/S VEHICLE WILL NOT START.  JUSTIN DUFFEY INVOLVED AND AUTHORIZED 9 HOURS OF STRAIGHT TIME,0
98921459,251061,091277,2017,38920,710,7101A2,CLIENT STATES THE VEHICLE WILL NEED A JUMP START IF NOT PLUGGED IN FOR ONE DAY,0
95440367,251183,833171,2016,38920,745,745509,C/S AFTER VEH SAT FOR 10 DAYS WOULDNT START & 5 DAYS TOO,0
101252097,251563,687281,2017,39120,014,014185,CUSTOMER STATES PASSENGER FRONT HIGH SPEAKER DOOR RATTLES,1
99997324,251571,672941,2017,39120,014,014175,"CUST STATES THERE IS A NOISE HEARD FROM THE DRIVERS SIDE FRONT DOOR AREA, SOP PART",1
99762154,251002,973312,2017,39120,013,013099,CLIENT STATES THERE IS A RATTLE HEARD FROM PASSENGER REAR,1
101857825,251481,083101,2017,39120,014,014099,C/S: RATTLING NOISE COMING FROM DRIVER`S SIDE TWEETER. INSPECT AND ADVISE.,0
95283991,251524,436391,2016,39120,011,011099,C\S RATTLE\TWEETER NOISE FROM L\F DASH\DOOR AREA.,0
95352399,251470,112758,2016,39161,747,747099,TECH REPORTS THERE IS COMMUNICATION ISSUE WITH THE DLC,1
99644997,251562,930149,2017,39186,010,0101B3,HUMMING NOISE COMING FROM SPEAKERS WHEN ON THE PHONE,0
95284172,251435,493390,2016,39541,010,0101B5,CUSTOMER STATES SPECIAL ORDER PART FOR RADIO. DISPLAY FLICKERS. TECH LINE REF # 3913968,0
100583007,251132,239945,2017,39541,123,123503,CUSTOMER STATES ALL THE LIGHTS ARE ON CHECK AND REPORT DISPLAY IS SCRATCH ON NAVI UNIT,0
101632908,251584,229991,2017,39542,010,0101B5,CUSTOMER STATES WHEN USING MAP WITH SWITCH BACK AND FORTH.INTERNAL RAIDO FAILURE. REPLACED RADIO,0
100787991,900021,079656,2017,39542,052,052098,UNKNOWN,1
96086649,251135,418791,2016,39542,052,0521A3,C/S ACURA LINK IS NOT WORKING PROPERLY,0
101333048,251573,879272,2017,39680,810,810099,LEFT FRONT SENSOR PUSHED IN REMOVED AND RESECURED PARKINGSENSOR.,0
99422232,251150,273336,2017,39680,810,810099,CLIENT STATES THAT THE FRONT LEFT MIDDLE BUMPER SENSOR HASFALLEN INTO THE BUMPER. CLIENT WOULD LIKE US TO CHECK OVERSENSOR AND ADDRESS THE ISSUE AS NEEDED. PLEASE CHECK & AD VISE.,0
92772721,251401,428720,2016,39770,010,010099,"CUSTOMER STATES ACURA LINK IS NOT RESPONDING, WHEN YOU PRESS THE BUTTON NOTHING IS HAPPENING CHECK AND ADVISE",0
99953124,251022,418125,2017,39770,010,010099,ENGINE ELECTRICAL--- CUSTOMER STATES AFTER THE CAR SITS FOR 8 OR MORE DAYS THE BATTERY IS DEAD AND HAS TO JUMP START,0
96527826,251073,404711,2017,39770,010,010099,"CHECK AND ADVISE, THE CUSTOMER STATES; THE TELEMATICS UNITIS STUCK IN",1
94879893,251135,393981,2016,39770,010,0101D4,C/S ACURA LINK IS NOT WORKING; CHECK AND ADVISE,1
100521396,251034,187515,2017,39770,010,010099,CUSTOMER STATES ACURA LINK IS INOP,1
98167946,251497,547134,2017,39780,414,414099,DURING CODE RET FOUND ACTICVE DAMPER SYST 9-3/ RET CODES AND CLEARED CODES RECHECK OPERATION,1
93671252,251562,873521,2016,39835,052,052099,CLIENT STATES GPS IS NOT WORKING,0
98167945,251497,547133,2017,39920,412,412301,DURING CODE RETRIEVAL FOUND ELEC PARKING BRAKE DTC U041-68/CLEARED CODES AND RECHECK OPERATION,0
92962760,251059,905221,2016,39940,122,122099,UPON INSPECTION TECH FOUND LOOSE WIRE HARNESS PLS CHECK AND ADVISE,0
98535085,251100,531143,2017,42510,411,411097,DURING LAST SERVICE VISIT TECH FOUND REAR BRAKE ROTOR UNDERS PEC AND BRAKE PADS HAVE UNEVEN WEAR. CLIENT REQUEST TOREPLA E,0
97904801,251036,443820,2017,42700,421,421099,"RIMS BLACK. RRH INC. COLORCOAT RIMS FOR CLIENT SATISFACTION PER DPSM. REMOVE RIMS AND TIRES, REINSTALL WHEEL AND TIRE, TORQUE 125LBS, COLORCOAT WHEELS SUBLET REPAIR RRH INV# 2499",0
101825878,251481,407465,2017,42700,421,421199,ONE TIME GOODWILL  -  LEFT REAR TPMS SEAL NOT HOLDING.,0
94835488,251518,152242,2016,42700,410,410097,GOODWILL-PER ZONE MANAGER-15950,0
101332291,251536,445539,2017,42700,421,421310,CUSTOMER STATES MOUNT & BALANCE FOUR TIRES,0
96754850,251461,739781,2017,42700,421,421199,GOODWILL INSTALL NEW RIM AND TIRE AS A GOODWILL GESTURE ONR/F,1
97521282,251489,753941,2017,42700,421,421097,WHEEL; ALLOY - WRONG RIMS ON VEHICLE WHEN DELIVERED - AUTH26168,0
97755679,251521,177581,2017,42753,421,4211H5,CUSTOMER STATES RIGHT REAR TIRE LOSING AIR AROUND VALVE STEM INSTALL SOP TPMS SENSOR AS NEEDED,1
98307625,251521,177580,2017,42754,421,421199,DEBIT/CREDIT-WRONG LABOR OPP AND FP USED ON CLAIM 177581. CUSTOMER STATES RIGHT REAR TIRE LOSING AIR AROUND VALVE STEM,0
98393809,251100,531141,2017,43018,411,411107,PER LAST SERVICE INSPECTION CLIENT STATES THE RIGHT REAR BRA KE PADS IS HAVING PREMATURE WEAR AND IT IS TAPPERING WHEN IS WEARING OUT.,0
97291344,251073,406022,2017,43018,411,4111D0,CUSTOMER STATES FLUID LEAKING AT REAR CALIPERS @40 LAPS ATLAGUNA SECA TRACK DAY 12/16/16 5/20 MINUTE SESSIONS  CLAIM1 OF 2 FOR JOB 2,0
97291345,251073,406023,2017,43018,411,411102,CUSTOMER STATES FLUID LEAKING AT REAR CALIPERS @40 LAPS ATLAGUNA SECA TRACK DAY 12/16/16 5/20 MINUTE SESSIONS  CLAIM2 OF 2 FOR JOB 2,1
97755680,251521,177582,2017,43022,411,411150,CUSTOMER STATES THAT ONE OF THE REAR BRAKE PAD SENSORS FELL OFF AND WILL NOT STAY IN PLACE. CHECK AND ADVISE. -,0
93442217,251061,786272,2016,43256,813,813099,CLIENT STATES THERE IS A GRINDING LIKE NOISE WHEN MAKING LEFT TURNS,1
101031447,251521,209491,2017,44305,219,219131,VEHICLE AT PRC IN OHIO. DURING REPAIRS FOUND LEFT FRONT DRIVE AXLE BOOT LEAKING GREASE. REPLACE PER PMC. SHIP PARTSTO PMC FOR REPLACEMENT PMC STAFF TO REPLACE. -,1
95608374,251518,522420,2016,45022,410,410096,GOODWILL-PER ZONE MANAGER. REPLACE 4 WHEELS,1
99180465,251012,955255,2017,45022,410,410099,BRAKES SQUEALING ON APPLICATION. DUPLICATED CONCERN. APPLIED BREMBO COPPER BASE LUBRICANT TO PAD MOUNT CONTACTS.,0
96402168,251135,430581,2017,45251,123,123096,SUBLET FOR TRANSPORT OF VEHICLE,0
96173874,251135,424601,2016,45251,123,123096,GOODWILL...REIMBURSMENT PAYMENT FOR CAR COVER,0
101498454,251049,919065,2017,45251,410,410099,CUSTOMER STATES AFTER DRIVING THE CAR AND IT IS WARMED UP THEN DRIVING IT HE HEARS A METAL ON METAL TYPE SOUND LIKE IT IS GRADING AGAINST EACH OTHER WHEN TURNING LEFT (ALL TURNS),1
99240879,251531,107464,2017,50350,813,813096,ZONE APPROVED REIMBURSEMENT//GOODWILL SUBLET REPAIRS TO DORNS BODY AND PAINT INC--AUTH #26168,0
100787835,251071,036009,2017,52510,419,419099,SERGIO FROM ACURA CLIENT RELATIONS SENT FIELD ENGINEER ELLSWORTH TO FIELD INSPECT NSX DAMAGE TO DETERIMINE EXTENT OFDAMAGE,0
98178387,251073,416341,2017,53200,510,510099,WONT TRACK STRAIGHT,1
97983031,251061,893745,2017,53560,431,4313A1,ADD ON REPAIR; FOUND VEHICLE FAILED ALIGNMENT CHECK,0
99688168,251559,541741,2017,53560,431,4313A1,CUSTOMER STATES VEHICLE IS PULLING TO THE RIGHT. COMPLETEDNECESSARY ALIGNMENT,0
98167944,251497,547132,2017,53681,523,523505,FOUND CODE  FOR EPS / CLEARED CODES AND CLEARED DTC,1
92726197,251068,167124,2016,54000,215,2151D0,"CUSTOMER STATES THE CHECK TRANSMISSION LIGHT IS ON..CONFIRMED, CALLED TECH LINE, REPLACED SHIFT BY WIRE ASSY AS PER TECH LINE.. REF#3889826",0
101332408,251462,380931,2017,57111,423,423505,MISCELLANEOUS CONCERN: CUSTOMER STATES; CAR WILL BE TOWEDIN,0
