State,PC Name,Male Electors,Male Voters,Female Electors,Female Voters,Total Electors,Total Voters
Andaman & Nicobar Islands,1 - Andaman & Nicobar Islands,142782,101178,126578,89150,269360,190328
Andhra Pradesh,1 - Adilabad ,687389,519364,698844,526475,1386233,1045839
Andhra Pradesh,2 - Peddapalle ,725767,520598,699594,501586,1425361,1022184
Andhra Pradesh,3 - Karimnagar ,777458,552489,773376,573202,1550834,1125691
Andhra Pradesh,4 - Nizamabad,724504,469712,771689,564212,1496193,1033924
Andhra Pradesh,5 - Zahirabad,717811,546746,727435,548060,1445246,1094806
Andhra Pradesh,6 - Medak,775903,606863,760812,584233,1536715,1191096
Andhra Pradesh,7 - Malkajgiri,1723413,878093,1459912,742304,3183325,1620397
Andhra Pradesh,8 - Secundrabad,1012378,545749,881269,458020,1893647,1003769
Andhra Pradesh,9 - Hyderabad,961290,526510,862374,444911,1823664,971421
Andhra Pradesh,10 - CHELVELLA,1153049,696749,1032130,619113,2185179,1315862
Andhra Pradesh,11 - Mahbubnagar,709711,511764,708961,503036,1418672,1014800
Andhra Pradesh,12 - Nagarkurnool,745038,570342,732300,538626,1477338,1108968
Andhra Pradesh,13 - Nalgonda,747281,602193,748299,587206,1495580,1189399
Andhra Pradesh,14 - Bhongir ,756963,622333,735288,589610,1492251,1211943
Andhra Pradesh,15 - Warangal,771756,592484,766025,582147,1537781,1174631
Andhra Pradesh,16 - Mahabubabad  ,688398,562073,698945,562297,1387343,1124370
Andhra Pradesh,17 - Khammam ,712329,588728,727960,594169,1440289,1182897
Andhra Pradesh,18 - Aruku ,622416,451350,650308,458264,1272724,909614
Andhra Pradesh,19 - Srikakulam,706828,505010,707161,546436,1413989,1051446
Andhra Pradesh,20 - Vizianagaram,700837,555005,703290,565311,1404127,1120316
Andhra Pradesh,21 - Visakhapatnam,875187,585270,847850,578288,1723037,1163558
Andhra Pradesh,22 - Anakapalli,689132,563818,712342,584254,1401474,1148072
Andhra Pradesh,23 - Kakinada,709101,558689,709189,541310,1418290,1099999
Andhra Pradesh,24 - Amalapuram ,682607,568534,675259,552393,1357866,1120927
Andhra Pradesh,25 - Rajahmundry,701707,577999,719581,576382,1421288,1154381
Andhra Pradesh,26 - Narsapuram,652668,539357,672475,549594,1325143,1088951
Andhra Pradesh,27 - Eluru ,706916,597603,720844,604093,1427760,1201696
Andhra Pradesh,28 - Machilipatnam ,675774,567908,693537,573157,1369311,1141065
Andhra Pradesh,29 - Vijayawada,781156,602198,783357,592877,1564513,1195075
Andhra Pradesh,30 - Guntur,773027,617483,798989,627443,1572016,1244926
Andhra Pradesh,31 - Narasaraopet,748465,638080,766396,643978,1514861,1282058
Andhra Pradesh,32 - Bapatla ,686482,587223,706483,597411,1392965,1184634
Andhra Pradesh,33 - Ongole ,736245,603025,734238,605200,1470483,1208225
Andhra Pradesh,34 - Nandyal,783266,603562,793862,601394,1577128,1204956
Andhra Pradesh,35 - Kurnool,738791,544802,743016,520930,1481807,1065732
Andhra Pradesh,36 - Anantapur,775509,612890,761403,592164,1536912,1205054
Andhra Pradesh,37 - Hindupur,734638,601932,711865,575325,1446503,1177257
Andhra Pradesh,38 - Kadapa,765036,588805,785543,611857,1550579,1200662
Andhra Pradesh,39 - Nellore,796583,593468,809557,594180,1606140,1187648
Andhra Pradesh,40 - Tirupati ,778778,604834,795766,608230,1574544,1213064
Andhra Pradesh,41 - Rajampet,735347,573019,752151,585298,1487498,1158317
Andhra Pradesh,42 - Chittoor ,723996,598259,728145,600656,1452141,1198915
Arunachal Pradesh,1 - ARUNACHAL WEST,219334,159978,227181,175687,446515,335665
Arunachal Pradesh,2 - ARUNACHAL EAST,160293,129313,152579,131978,312872,261291
Assam,1 - Karimganj ,615198,482484,550799,404436,1165997,886920
Assam,2 - Silchar,554540,428949,505635,370881,1060175,799830
Assam,3 - Autonomous District,358880,279409,343010,263871,701890,543280
Assam,4 - Dhubri,798124,709191,754430,660433,1552554,1369624
Assam,5 - Kokrajhar,776071,636657,729405,587212,1505476,1223869
Assam,6 - Barpeta,755559,634405,674616,571458,1430175,1205863
Assam,7 - Gauhati,988067,785494,934203,726235,1922270,1511729
Assam,8 - Mangaldoi,791539,651272,724137,581965,1515676,1233237
Assam,9 - Tezpur,654866,505643,604702,475045,1259568,980688
Assam,10 - Nowgong,792424,639392,731457,590682,1523881,1230074
Assam,11 - Kaliabor,752785,605292,705080,561198,1457865,1166490
Assam,12 - Jorhat,634236,483829,600212,447507,1234448,931336
Assam,13 - Dibrugarh,579657,462412,544648,428556,1124305,890968
Assam,14 - Lakhimpur,735263,572334,695731,539641,1430994,1111975
Bihar,1 - Valmiki Nagar,786297,484621,670279,415493,1456576,900114
Bihar,2 - Paschim Champaran,769352,469114,643721,385686,1413073,854800
Bihar,3 - Purvi Champaran,788561,442103,664402,380568,1452963,822671
Bihar,4 - Sheohar,794679,433416,695045,409478,1489724,842894
Bihar,5 - Sitamarhi,832370,449303,742544,451285,1574914,900588
Bihar,6 - Madhubani,877284,413878,750685,446575,1627969,860453
Bihar,7 - Jhanjharpur,884884,452082,765869,489167,1650753,941249
Bihar,8 - Supaul,796979,468183,728613,502345,1525592,970528
Bihar,9 - Araria,842884,492492,744464,483319,1587348,975811
Bihar,10 - Kishanganj,762877,471209,676113,457281,1438990,928490
Bihar,11 - Katihar,769044,495564,677434,482266,1446478,977830
Bihar,12 - Purnia,833610,511512,749357,506220,1582967,1017732
Bihar,13 - Madhepura,899271,508914,826307,525885,1725578,1034799
Bihar,14 - Darbhanga,797470,407047,697976,421295,1495446,828342
Bihar,15 - Muzaffarpur,830943,490954,720420,457933,1551363,948887
Bihar,16 - Vaishali,854781,482598,732421,443339,1587202,925937
Bihar,17 - Gopalganj (SC),861019,446731,791748,456852,1652767,903583
Bihar,18 - Siwan,841735,443867,722125,440154,1563860,884021
Bihar,19 - Maharajganj,882264,420364,762260,426290,1644524,846654
Bihar,20 - Saran,833361,450964,705383,412290,1538744,863254
Bihar,21 - Hajipur (SC),895047,478252,754500,426501,1649547,904753
Bihar,22 - Ujiarpur,768123,433926,660322,424994,1428445,858920
Bihar,23 - Samastipur (SC),805601,430736,697404,432463,1503005,863199
Bihar,24 - Begusarai,949825,546041,828934,531814,1778759,1077855
Bihar,25 - Khagaria,793168,445965,698900,450266,1492068,896231
Bihar,26 - Bhagalpur,895185,522657,790154,451359,1685339,974016
Bihar,27 - Banka,825010,461098,724446,438255,1549456,899353
Bihar,28 - Munger,921436,506184,775110,408166,1696546,914350
Bihar,29 - Nalanda,1036575,503097,915392,418664,1951967,921761
Bihar,30 - Patna Sahib,1052278,511447,893971,370815,1946249,882262
Bihar,31 - Pataliputra,934086,553915,801988,424734,1736074,978649
Bihar,32 - Arrah,1010040,516366,822292,376847,1832332,893213
Bihar,33 - Buxar,878312,493930,762255,394274,1640567,888204
Bihar,34 - Sasaram (SC),859397,474117,748350,372671,1607747,846788
Bihar,35 - Karakat,845707,453576,724282,336351,1569989,789927
Bihar,36 - Jahanabad,751585,443737,671661,367779,1423246,811516
Bihar,37 - Aurangabad,825574,430800,710579,355474,1536153,786274
Bihar,38 - Gaya (SC),790868,444510,709883,364868,1500751,809378
Bihar,39 - Nawada,887050,478217,788739,406224,1675789,884441
Bihar,40 - Jamui (SC),828406,415743,722530,359896,1550936,775639
Chandigarh,1 - CHANDIGARH,333621,244956,281593,208499,615214,453455
Chattisgarh,1 - SARGUJA,771303,610877,751769,576444,1523072,1187321
Chattisgarh,2 - RAIGARH,807353,630570,798471,615616,1605824,1246186
Chattisgarh,3 - JANJGIR-CHAMPA,890439,558677,847093,514670,1737532,1073347
Chattisgarh,4 - KORBA,725821,546046,693789,506674,1419610,1052720
Chattisgarh,5 - BILASPUR,889222,573253,838103,517204,1727325,1090457
Chattisgarh,6 - RAJNANDGAON,794427,601874,793668,576422,1588095,1178296
Chattisgarh,7 - DURG,945656,660504,910125,597838,1855781,1258342
Chattisgarh,8 - RAIPUR,979133,659070,925097,591775,1904230,1250845
Chattisgarh,9 - MAHASAMUND,757276,576917,758471,554292,1515747,1131209
Chattisgarh,10 - BASTAR,632814,387112,665245,382801,1298059,769913
Chattisgarh,11 - KANKER,722339,515793,725435,501150,1447774,1016943
Dadra & Nagar Haveli,1 - Dadar & Nagar Haveli,106215,87800,90402,77486,196617,165286
Daman & Diu,1 - Daman & diu,57011,42378,54816,44855,111827,87233
Goa,1 - North Goa,255870,200184,259571,206447,515441,406631
Goa,2 - South Goa,272438,195582,272898,214787,545336,410369
Gujarat,1 - Kachchh,806343,520905,727439,425335,1533782,946240
Gujarat,2 - Banaskantha,796124,513893,719587,372741,1515711,886634
Gujarat,3 - Patan,846195,529513,782446,426286,1628641,955799
Gujarat,4 - Mahesana,777821,544710,720398,459548,1498219,1004258
Gujarat,5 - Sabarkantha,833521,587807,782319,506195,1615840,1094002
Gujarat,6 - Gandhinagar,900744,620889,833228,514606,1733972,1135495
Gujarat,7 - Ahmedabad East,852765,560074,749067,425451,1601832,985525
Gujarat,8 - Ahmedabad West,800933,534008,733467,430601,1534400,964609
Gujarat,9 - Surendranagar,877745,542339,778912,402338,1656657,944677
Gujarat,10 - Rajkot,864760,593333,790957,463736,1655717,1057069
Gujarat,11 - Porbandar,807383,471495,731840,337938,1539223,809433
Gujarat,12 - Jamnagar,771004,486177,699948,366466,1470952,852643
Gujarat,13 - Junagadh,772017,516158,713526,425220,1485543,941378
Gujarat,14 - Amreli,777662,457547,708624,351269,1486286,808816
Gujarat,15 - Bhavnagar,834571,519525,759960,397877,1594531,917402
Gujarat,16 - Anand,781120,541176,715739,429718,1496859,970894
Gujarat,17 - Kheda,833232,542955,766244,412951,1599476,955906
Gujarat,18 - Panchmahal,820230,516017,756437,417444,1576667,933461
Gujarat,19 - Dahod,712184,469459,699581,430922,1411765,900381
Gujarat,20 - Vadodara,849077,625045,789244,536532,1638321,1161577
Gujarat,21 - Chhota Udaipur,798160,593192,738145,507350,1536305,1100542
Gujarat,22 - Bharuch,734861,564668,682687,495543,1417548,1060211
Gujarat,23 - Bardoli,829648,637345,784458,568834,1614106,1206179
Gujarat,24 - Surat,803829,539368,680239,408554,1484068,947922
Gujarat,25 - Navsari,972090,649206,792532,511541,1764622,1160747
Gujarat,26 - Valsad,775073,582311,736988,539892,1512061,1122203
Haryana,1 - Ambala,909708,667400,782519,551595,1692227,1218995
Haryana,2 - Kurukshetra,807700,618607,690759,517285,1498459,1135892
Haryana,3 - Sirsa,886303,692891,774254,586214,1660557,1279105
Haryana,4 - Hisar,825688,637718,691918,518196,1517606,1155914
Haryana,5 - Karnal,913321,666808,771000,526692,1684321,1193500
Haryana,6 - Sonipat,777824,551168,639364,434469,1417188,985637
Haryana,7 - Rohtak,850125,578351,717379,465980,1567504,1044331
Haryana,8 - Bhiwani-Mahendragarh,792166,559833,681746,470598,1473912,1030431
Haryana,9 - Gurgaon,984370,727397,861253,593222,1845623,1320619
Haryana,10 - Faridabad,969407,651411,770945,479315,1740352,1130726
Himachal Pradesh,1 - Kangra,645888,392927,612713,406518,1258601,799445
Himachal Pradesh,2 - Mandi,587833,377569,562575,348525,1150408,726094
Himachal Pradesh,3 - Hamirpur,633572,395804,614127,439401,1247699,835205
Himachal Pradesh,4 - Shimla,607137,403332,546226,334425,1153363,737757
Jammu & Kashmir,1 - Baramulla,624008,256249,566737,209743,1190745,465992
Jammu & Kashmir,2 - Srinagar,630716,178554,574517,133658,1205233,312212
Jammu & Kashmir,3 - Anantnag,684820,211582,616203,163697,1301023,375279
Jammu & Kashmir,4 - Ladakh,86259,58035,80504,59994,166763,118029
Jammu & Kashmir,5 - Udhampur,798910,557757,691334,484001,1490244,1041758
Jammu & Kashmir,6 - Jammu,977308,665407,870847,588186,1848155,1253593
Jharkhand,1 - Rajmahal,691254,491007,661918,460556,1353172,951563
Jharkhand,2 - Dumka,646885,466521,600270,436539,1247155,903060
Jharkhand,3 - Godda,825706,550327,764922,499115,1590628,1049442
Jharkhand,4 - Chatra,696514,383079,616031,329892,1312545,712971
Jharkhand,5 - Kodarma,870016,535513,769613,489393,1639629,1024906
Jharkhand,6 - Giridih,811986,531267,703151,438730,1515137,969997
Jharkhand,7 - Dhanbad,1032005,642644,857989,501258,1889994,1143902
Jharkhand,8 - Ranchi,868783,562894,779681,486889,1648464,1049783
Jharkhand,9 - Jamshedpur,811632,548176,770033,500964,1581665,1049140
Jharkhand,10 - Singhbhum,583444,403528,569126,391758,1152570,795286
Jharkhand,11 - Khunti,565544,373120,546308,363835,1111852,736955
Jharkhand,12 - Lohardaga,578883,333938,540261,317522,1119144,651460
Jharkhand,13 - Palamau,890010,523454,755947,453869,1645957,977323
Jharkhand,14 - Hazaribagh,812487,515008,706344,452144,1518831,967152
Karnataka,1 - Chikkodi,746113,564257,696183,506846,1442296,1071103
Karnataka,2 - Belgaum,807598,570120,773419,508427,1581017,1078547
Karnataka,3 - Bagalkot,793338,561781,775282,517529,1568620,1079310
Karnataka,4 - Bijapur,847815,521565,774820,445192,1622635,966757
Karnataka,5 - Gulbarga,878311,523062,843679,474576,1721990,997638
Karnataka,6 - Raichur,835969,508764,825637,460125,1661606,968889
Karnataka,7 - Bidar,839154,506363,761808,453021,1600962,959384
Karnataka,8 - Koppal,770316,526001,764789,480507,1535105,1006508
Karnataka,9 - Bellary,750789,542128,737156,503644,1487945,1045772
Karnataka,10 - Haveri,807076,595257,751673,520711,1558749,1115968
Karnataka,11 - Dharwad,809486,562991,769538,478235,1579024,1041226
Karnataka,12 - Uttara Kannada,742865,521541,707734,479497,1450599,1001038
Karnataka,13 - Davanagere,772126,581292,750586,533576,1522712,1114868
Karnataka,14 - Shimoga,778767,572407,783474,556601,1562241,1129008
Karnataka,15 - Udupi Chikmagalur,679286,511470,708009,522638,1387295,1034108
Karnataka,16 - Hassan,789668,586090,771668,561082,1561336,1147172
Karnataka,17 - Dakshina Kannada,774500,595647,790781,611827,1565281,1207474
Karnataka,18 - Chitradurga,844864,573250,816408,523249,1661272,1096499
Karnataka,19 - Tumkur,764561,565612,753957,535872,1518518,1101484
Karnataka,20 - Mandya,839052,604906,830210,587732,1669262,1192638
Karnataka,21 - Mysore,867893,598003,855241,561591,1723134,1159594
Karnataka,22 - Chamarajanagar,789383,585209,766396,547820,1555779,1133029
Karnataka,23 - Bangalore Rural,1135845,758619,1054552,696625,2190397,1455244
Karnataka,24 - Bangalore North,1260356,721638,1141116,635080,2401472,1356718
Karnataka,25 - Bangalore central,1010586,574475,921077,500114,1931663,1074589
Karnataka,26 - Bangalore South,1051316,597291,948566,516435,1999882,1113726
Karnataka,27 - Chikkballapur,843740,653492,814602,609782,1658342,1263274
Karnataka,28 - Kolar,755450,582601,737525,544722,1492975,1127323
Kerala,1 - Kasaragod,595047,459537,648683,514678,1243730,974215
Kerala,2 - Kannur,548454,439557,621812,507560,1170266,947117
Kerala,3 - Vadakara,561168,437556,621336,521786,1182504,959342
Kerala,4 - Wayanad,614822,454300,634598,460706,1249420,915006
Kerala,5 - Kozhikode,571709,457548,610775,485461,1182484,943009
Kerala,6 - Malappuram,598207,415980,600237,437487,1198444,853467
Kerala,7 - Ponnani,574106,405116,606683,466476,1180789,871592
Kerala,8 - Palakkad,587379,444510,621379,465812,1208758,910322
Kerala,9 - Alathur ,591950,452858,624401,474370,1216351,927228
Kerala,10 - Thrissur,606518,434202,668770,486303,1275288,920505
Kerala,11 - Chalakudy,565081,436712,585410,447321,1150491,884033
Kerala,12 - Ernakulam,565809,428565,590658,422269,1156467,850834
Kerala,13 - Idukki,578849,425049,579886,394717,1158735,819766
Kerala,14 - Kottayam,573571,426879,587892,404757,1161463,831636
Kerala,15 - Alappuzha,611877,477885,659447,519579,1271324,997464
Kerala,16 - Mavelikkara ,592702,416969,659966,472091,1252668,889060
Kerala,17 - Pathanamthitta,631495,425771,692411,443681,1323906,869452
Kerala,18 - Kollam,575296,408322,644119,470734,1219415,879056
Kerala,19 - Attingal,575780,396246,675618,463104,1251398,859350
Kerala,20 - Thiruvananthapuram,614438,434623,658310,438816,1272748,873439
Lakshadweep,1 - Lakshadweep,25433,21585,24489,21654,49922,43239
Madhya Pradesh,1 - MORENA,938466,538708,764026,315571,1702492,854279
Madhya Pradesh,2 - BHIND,890851,469603,707318,259481,1598169,729084
Madhya Pradesh,3 - GWALIOR,1024155,595934,852848,394978,1877003,990912
Madhya Pradesh,4 - GUNA,857328,581485,748291,395144,1605619,976629
Madhya Pradesh,5 - SAGAR,815357,536674,704827,355255,1520184,891929
Madhya Pradesh,6 - TIKAMGARH,820908,466689,708095,299632,1529003,766321
Madhya Pradesh,7 - DAMOH,882506,557919,768600,354161,1651106,912080
Madhya Pradesh,8 - KHAJURAHO,907312,517341,795482,357136,1702794,874477
Madhya Pradesh,9 - SATNA,772026,499928,686058,413516,1458084,913444
Madhya Pradesh,10 - REWA,821800,457663,722919,372339,1544719,830002
Madhya Pradesh,11 - SIDHI,915700,548026,820350,441370,1736050,989396
Madhya Pradesh,12 - SHAHDOL,806945,527939,754376,440579,1561321,968518
Madhya Pradesh,13 - JABALPUR,897949,558617,813734,443567,1711683,1002184
Madhya Pradesh,14 - MANDLA,925971,641915,898453,576603,1824424,1218518
Madhya Pradesh,15 - BALAGHAT,822667,571601,807102,541763,1629769,1113364
Madhya Pradesh,16 - CHHINDWARA,721482,584759,679795,522739,1401277,1107498
Madhya Pradesh,17 - HOSHANGABAD,835492,593957,732635,437218,1568127,1031175
Madhya Pradesh,18 - VIDISHA,872410,621326,761960,452147,1634370,1073473
Madhya Pradesh,19 - BHOPAL,1039004,639683,917932,490499,1956936,1130182
Madhya Pradesh,20 - RAJGARH,827001,598652,751747,412072,1578748,1010724
Madhya Pradesh,21 - DEWAS,843555,654121,773660,489847,1617215,1143968
Madhya Pradesh,22 - UJJAIN,790889,571525,734592,444880,1525481,1016405
Madhya Pradesh,23 - MANDSOUR,838076,640484,788495,520865,1626571,1161349
Madhya Pradesh,24 - RATLAM,860947,570248,841701,512433,1702648,1082681
Madhya Pradesh,25 - DHAR,858093,586865,810348,489951,1668441,1076816
Madhya Pradesh,26 - INDORE,1106461,736759,1008842,580058,2115303,1316817
Madhya Pradesh,27 - KHARGONE,866897,614411,836374,538114,1703271,1152525
Madhya Pradesh,28 - KHANDWA,912747,677574,846663,579753,1759410,1257327
Madhya Pradesh,29 - BETUL,836835,574150,770987,473569,1607822,1047719
Maharashtra,1 - Nandurbar ,852379,584580,820336,532096,1672715,1116676
Maharashtra,2 - Dhule,878610,543252,795859,439831,1674469,983083
Maharashtra,3 - Jalgaon,909027,594892,798906,395440,1707933,990332
Maharashtra,4 - Raver,842682,554159,750688,455054,1593370,1009213
Maharashtra,5 - Buldhana,845547,535993,750687,442633,1596234,978626
Maharashtra,6 - Akola,869922,544432,776541,434059,1646463,978491
Maharashtra,7 - Amravati ,848050,556250,763315,447811,1611365,1004061
Maharashtra,8 - Wardha,817514,554658,747039,458787,1564553,1013445
Maharashtra,9 - Ramtek ,887157,576939,790088,473377,1677245,1050316
Maharashtra,10 - Nagpur ,979995,579529,920792,505529,1900787,1085058
Maharashtra,11 - Bhandara - gondiya,841442,615957,814842,581239,1656284,1197196
Maharashtra,12 - Gadchiroli-Chimur,753927,537086,715840,490043,1469767,1027129
Maharashtra,13 - Chandrapur,921099,602923,832591,506820,1753690,1109743
Maharashtra,14 - Yavatmal-Washim,916049,585785,827449,447164,1743498,1032949
Maharashtra,15 - Hingoli ,839540,576774,746654,474390,1586194,1051164
Maharashtra,16 - Nanded,878553,549945,808504,463405,1687057,1013350
Maharashtra,17 - Parbhani,945899,637950,857893,524283,1803792,1162233
Maharashtra,18 - Jalna,866726,596359,745328,469900,1612054,1066259
Maharashtra,19 - Aurangabad,846023,554669,743370,428264,1589393,982933
Maharashtra,20 - Dindori ,808018,546989,722121,423193,1530139,970182
Maharashtra,21 - Nashik,850457,524572,742780,412833,1593237,937405
Maharashtra,22 - Palghar ,830432,532639,747645,459979,1578077,992618
